county_name,aged,blind,disabled,tanf__afdc__under_21,tanf__afdc__21_and_over,other_child,pregnant_women,family_planning,infants_and_children,mchip,mqbq,mqbb,mqbe,bcc,refugees,legal_aliens,illegal_aliens,county_total,chip,month,documented_aliens,undocumented_aliens,chip_extended_coverage,countyname,family_planning_waiver,year,my_date,july_2016_estimate,estimate,pov_percent,births,n_hospitals,n_beds
Transylvania,393,3,858,1119,666,28,64,104,1532,385,37,159,88,6,NA,5,NA,5447,242,AUG,NA,NA,3,NA,NA,2015,2015-08-01,34139,4598,0.13468467149008465,1690,1,92
Tyrrell,126,1,135,127,53,NA,10,20,251,51,11,38,15,NA,NA,4,NA,842,57,AUG,NA,NA,NA,NA,NA,2015,2015-08-01,4136,905,0.21881044487427467,266,0,NA
Union,1369,14,2985,5549,2432,47,289,1074,8467,2565,114,437,274,9,1,163,NA,25789,1941,AUG,NA,NA,11,NA,NA,2015,2015-08-01,223915,20772,0.09276734475135655,14854,1,182
Vance,1121,8,2903,3356,1657,20,123,517,3312,749,75,430,235,4,1,27,NA,14538,464,AUG,NA,NA,NA,NA,NA,2015,2015-08-01,44945,11177,0.24868172210479475,3550,1,102
Wake,5901,159,14487,21897,9739,375,960,6417,39139,9841,398,1383,669,8,100,1717,3,113193,5989,AUG,NA,NA,3,NA,NA,2015,2015-08-01,1026748,105133,0.10239416098205208,78745,5,1574
Warren,655,7,1124,989,455,1,56,149,1162,273,21,237,105,1,NA,5,NA,5240,180,AUG,NA,NA,1,NA,NA,2015,2015-08-01,20121,4662,0.23169822573430743,1156,0,NA
Washington,302,7,680,712,415,NA,26,203,799,154,23,77,46,1,NA,3,NA,3448,113,AUG,NA,NA,NA,NA,NA,2015,2015-08-01,12425,2916,0.2346881287726358,800,1,49
Watauga,383,9,709,632,316,47,57,125,1365,367,32,138,62,4,NA,8,NA,4254,356,AUG,NA,NA,NA,NA,NA,2015,2015-08-01,54992,14797,0.2690755018911842,2217,1,117
Wayne,1817,36,4985,7049,3036,41,282,1426,8499,1708,127,704,293,1,4,127,NA,30135,958,AUG,NA,NA,8,NA,NA,2015,2015-08-01,124808,26475,0.21212582526761106,10606,1,316
Wilkes,1257,19,2454,2894,1361,217,141,134,3630,1110,135,554,276,2,NA,31,NA,14215,782,AUG,NA,NA,4,NA,NA,2015,2015-08-01,70027,14278,0.203892784211804,4272,1,144
Wilson,1541,16,3495,3594,2112,28,149,684,5827,1137,80,454,208,4,NA,32,NA,19361,807,AUG,NA,NA,3,NA,NA,2015,2015-08-01,81758,18043,0.22068788375449497,6028,1,294
Yadkin,601,6,1019,1352,634,19,65,136,1820,499,59,229,150,1,NA,14,NA,6604,304,AUG,NA,NA,1,NA,NA,2015,2015-08-01,37725,7112,0.1885222001325381,2441,0,NA
Yancey,403,4,608,517,300,14,42,68,1148,191,39,139,54,NA,NA,3,NA,3530,177,AUG,NA,NA,NA,NA,NA,2015,2015-08-01,18142,3713,0.20466321243523317,1068,0,NA
